Срок;Статус;ID;Что сделать;Кто;Кому;Основание;Канал;Шаблон письма;Как посчитан срок;Примечание
;ждём событие;Э-01.1;"Направить Заказчику письмо с графиком проведения инструктажа и программой инструктажа (Заказчик согласует за 5 рабочих дней; молчание = согласовано) (Этап 1)";Исполнитель;Заказчик;ТЗ п. 4.2.4;официальное письмо;2_Шаблоны_писем/06_О_направлении_графика_и_программы_инструктажа.docx;ждём событие «начало_услуг_этап_1» — отметьте его в журнале;В шаблоне есть поле {{этап}}. Приложения к письму — График инструктажа и Программа инструктажа, их готовят технические специалисты
;ждём событие;Э-01.2;"Направить Заказчику письмо с графиком проведения инструктажа и программой инструктажа (Заказчик согласует за 5 рабочих дней; молчание = согласовано) (Этап 2)";Исполнитель;Заказчик;ТЗ п. 4.2.4;официальное письмо;2_Шаблоны_писем/06_О_направлении_графика_и_программы_инструктажа.docx;ждём событие «начало_услуг_этап_2» — отметьте его в журнале;В шаблоне есть поле {{этап}}. Приложения к письму — График инструктажа и Программа инструктажа, их готовят технические специалисты
;ждём событие;Э-03.1;Уведомить Заказчика о составе работников Исполнителя, участвующих в приемочных испытаниях (об изменениях — не позднее 3 рабочих дней до даты испытаний) (Этап 1);Исполнитель;Заказчик;ТЗ п. 4.2.4.1;официальное письмо;;ждём событие «пми_направлена_этап_1» — отметьте его в журнале;Об изменениях состава — не позднее 3 рабочих дней до даты испытаний
;ждём событие;Э-03.2;Уведомить Заказчика о составе работников Исполнителя, участвующих в приемочных испытаниях (об изменениях — не позднее 3 рабочих дней до даты испытаний) (Этап 2);Исполнитель;Заказчик;ТЗ п. 4.2.4.1;официальное письмо;;ждём событие «пми_направлена_этап_2» — отметьте его в журнале;Об изменениях состава — не позднее 3 рабочих дней до даты испытаний
;ждём событие;Э-04.1;Направить Заказчику на согласование Протокол приемочных испытаний (Заказчик согласует за 2 рабочих дня) (Этап 1);Исполнитель;Заказчик;ТЗ п. 4.2.4.1;официальное письмо;;ждём событие «приемочные_испытания_проведены_этап_1» — отметьте его в журнале;
;ждём событие;Э-04.2;Направить Заказчику на согласование Протокол приемочных испытаний (Заказчик согласует за 2 рабочих дня) (Этап 2);Исполнитель;Заказчик;ТЗ п. 4.2.4.1;официальное письмо;;ждём событие «приемочные_испытания_проведены_этап_2» — отметьте его в журнале;
;ждём событие;С-01.1;Направить официальное уведомление о готовности к сдаче услуг по этапу с приложением отчётной документации на email Заказчика и разместить подписанный документ о приемке в ЕИС (Этап 1);Исполнитель;Заказчик;ТЗ п. 6, Контракт п. 2.2;email + ЕИС;;ждём событие «окончание_услуг_этап_1» — отметьте его в журнале;
;ждём событие;С-01.2;Направить официальное уведомление о готовности к сдаче услуг по этапу с приложением отчётной документации на email Заказчика и разместить подписанный документ о приемке в ЕИС (Этап 2);Исполнитель;Заказчик;ТЗ п. 6, Контракт п. 2.2;email + ЕИС;;ждём событие «окончание_услуг_этап_2» — отметьте его в журнале;
;ждём событие;С-01.3;Направить официальное уведомление о готовности к сдаче услуг по этапу с приложением отчётной документации на email Заказчика и разместить подписанный документ о приемке в ЕИС (Этап 3);Исполнитель;Заказчик;ТЗ п. 6, Контракт п. 2.2;email + ЕИС;;ждём событие «окончание_услуг_этап_3» — отметьте его в журнале;
;ждём событие;С-01.4;Направить официальное уведомление о готовности к сдаче услуг по этапу с приложением отчётной документации на email Заказчика и разместить подписанный документ о приемке в ЕИС (Этап 4);Исполнитель;Заказчик;ТЗ п. 6, Контракт п. 2.2;email + ЕИС;;ждём событие «окончание_услуг_этап_4» — отметьте его в журнале;
;ждём событие;С-02.1;Передать отчётную документацию в бумажном виде в 2 экземплярах на официальный адрес Заказчика (Этап 1);Исполнитель;Заказчик;ТЗ п. 5;бумага (почта/курьер);;ждём событие «окончание_услуг_этап_1» — отметьте его в журнале;
;ждём событие;С-02.2;Передать отчётную документацию в бумажном виде в 2 экземплярах на официальный адрес Заказчика (Этап 2);Исполнитель;Заказчик;ТЗ п. 5;бумага (почта/курьер);;ждём событие «окончание_услуг_этап_2» — отметьте его в журнале;
;ждём событие;С-02.3;Передать отчётную документацию в бумажном виде в 2 экземплярах на официальный адрес Заказчика (Этап 3);Исполнитель;Заказчик;ТЗ п. 5;бумага (почта/курьер);;ждём событие «окончание_услуг_этап_3» — отметьте его в журнале;
;ждём событие;С-02.4;Передать отчётную документацию в бумажном виде в 2 экземплярах на официальный адрес Заказчика (Этап 4);Исполнитель;Заказчик;ТЗ п. 5;бумага (почта/курьер);;ждём событие «окончание_услуг_этап_4» — отметьте его в журнале;
;ждём событие;С-03.1;Передать Заказчику ссылку для скачивания комплекта эксплуатационной документации (Руководство пользователя, Руководство администратора РЦОД) (Этап 1);Исполнитель;Заказчик;ТЗ п. 5;официальное письмо;;ждём событие «окончание_услуг_этап_1» — отметьте его в журнале;
;ждём событие;С-03.2;Передать Заказчику ссылку для скачивания комплекта эксплуатационной документации (Руководство пользователя, Руководство администратора РЦОД) (Этап 2);Исполнитель;Заказчик;ТЗ п. 5;официальное письмо;;ждём событие «окончание_услуг_этап_2» — отметьте его в журнале;
;справочно · ждём событие;К-01.1;Приемка Заказчиком: подписание документа о приемке либо мотивированный отказ (5 рабочих дней с даты поступления документа о приемке в ЕИС) (Этап 1);Заказчик;Исполнитель;Контракт разд. 4;ЕИС;;ждём событие «документ_о_приемке_размещен_этап_1» — отметьте его в журнале;Обязанность Заказчика. В плане держим справочно, напоминания не нужны — сроки заказчика отслеживаются отдельно в Confluence
;справочно · ждём событие;К-01.2;Приемка Заказчиком: подписание документа о приемке либо мотивированный отказ (5 рабочих дней с даты поступления документа о приемке в ЕИС) (Этап 2);Заказчик;Исполнитель;Контракт разд. 4;ЕИС;;ждём событие «документ_о_приемке_размещен_этап_2» — отметьте его в журнале;Обязанность Заказчика. В плане держим справочно, напоминания не нужны — сроки заказчика отслеживаются отдельно в Confluence
;справочно · ждём событие;К-01.3;Приемка Заказчиком: подписание документа о приемке либо мотивированный отказ (5 рабочих дней с даты поступления документа о приемке в ЕИС) (Этап 3);Заказчик;Исполнитель;Контракт разд. 4;ЕИС;;ждём событие «документ_о_приемке_размещен_этап_3» — отметьте его в журнале;Обязанность Заказчика. В плане держим справочно, напоминания не нужны — сроки заказчика отслеживаются отдельно в Confluence
;справочно · ждём событие;К-01.4;Приемка Заказчиком: подписание документа о приемке либо мотивированный отказ (5 рабочих дней с даты поступления документа о приемке в ЕИС) (Этап 4);Заказчик;Исполнитель;Контракт разд. 4;ЕИС;;ждём событие «документ_о_приемке_размещен_этап_4» — отметьте его в журнале;Обязанность Заказчика. В плане держим справочно, напоминания не нужны — сроки заказчика отслеживаются отдельно в Confluence
;ждём событие;К-02.1;Устранить недостатки, указанные в мотивированном отказе, и повторно направить документ о приемке (срок устанавливает Заказчик, но не более 5 рабочих дней) (Этап 1);Исполнитель;Заказчик;Контракт разд. 4;ЕИС;;ждём событие «мотивированный_отказ_получен_этап_1» — отметьте его в журнале;
;ждём событие;К-02.2;Устранить недостатки, указанные в мотивированном отказе, и повторно направить документ о приемке (срок устанавливает Заказчик, но не более 5 рабочих дней) (Этап 2);Исполнитель;Заказчик;Контракт разд. 4;ЕИС;;ждём событие «мотивированный_отказ_получен_этап_2» — отметьте его в журнале;
;ждём событие;К-02.3;Устранить недостатки, указанные в мотивированном отказе, и повторно направить документ о приемке (срок устанавливает Заказчик, но не более 5 рабочих дней) (Этап 3);Исполнитель;Заказчик;Контракт разд. 4;ЕИС;;ждём событие «мотивированный_отказ_получен_этап_3» — отметьте его в журнале;
;ждём событие;К-02.4;Устранить недостатки, указанные в мотивированном отказе, и повторно направить документ о приемке (срок устанавливает Заказчик, но не более 5 рабочих дней) (Этап 4);Исполнитель;Заказчик;Контракт разд. 4;ЕИС;;ждём событие «мотивированный_отказ_получен_этап_4» — отметьте его в журнале;
;справочно · ждём событие;К-03.1;Оплата Заказчиком (7 рабочих дней с даты подписания документа о приемке) (Этап 1);Заказчик;Исполнитель;Контракт п. 3.4;—;;ждём событие «документ_о_приемке_подписан_этап_1» — отметьте его в журнале;Обязанность Заказчика. В плане держим справочно, напоминания не нужны — сроки заказчика отслеживаются отдельно в Confluence
;справочно · ждём событие;К-03.2;Оплата Заказчиком (7 рабочих дней с даты подписания документа о приемке) (Этап 2);Заказчик;Исполнитель;Контракт п. 3.4;—;;ждём событие «документ_о_приемке_подписан_этап_2» — отметьте его в журнале;Обязанность Заказчика. В плане держим справочно, напоминания не нужны — сроки заказчика отслеживаются отдельно в Confluence
;справочно · ждём событие;К-03.3;Оплата Заказчиком (7 рабочих дней с даты подписания документа о приемке) (Этап 3);Заказчик;Исполнитель;Контракт п. 3.4;—;;ждём событие «документ_о_приемке_подписан_этап_3» — отметьте его в журнале;Обязанность Заказчика. В плане держим справочно, напоминания не нужны — сроки заказчика отслеживаются отдельно в Confluence
;справочно · ждём событие;К-03.4;Оплата Заказчиком (7 рабочих дней с даты подписания документа о приемке) (Этап 4);Заказчик;Исполнитель;Контракт п. 3.4;—;;ждём событие «документ_о_приемке_подписан_этап_4» — отметьте его в журнале;Обязанность Заказчика. В плане держим справочно, напоминания не нужны — сроки заказчика отслеживаются отдельно в Confluence
;по необходимости;Д-01;Письменно уведомить Заказчика о привлечении соисполнителей;Исполнитель;Заказчик;Контракт разд. 7;официальное письмо;;по мере необходимости;
;по необходимости;Д-02;Устранить недостатки, выявленные в процессе оказания услуг, по требованию Заказчика (10 дней с момента получения требования, если срок не установлен);Исполнитель;Заказчик;Контракт разд. 8;официальное письмо;;по мере необходимости;
